species,species_id,path
S(1861),C=CC(=O)OO_m1,geoms/C=CC_p_=O_q_OO_m1.xyz
S(1895),[CH2]C(O[O])C(=O)OO_m3,geoms/_b_CH2_d_C_p_O_b_O_d__q_C_p_=O_q_OO_m3.xyz
tSPC(1553),C=CC([O])=O_m2,geoms/C=CC_p__b_O_d__q_=O_m2.xyz
S(1192),O=C[CH]O_m2,geoms/O=C_b_CH_d_O_m2.xyz
S(2033),[O]CC(O)C=O_m2,geoms/_b_O_d_CC_p_O_q_C=O_m2.xyz
S(1998),[O]OC(O)C=O_m2,geoms/_b_O_d_OC_p_O_q_C=O_m2.xyz
S(2144),CC([O])C(O)C=O_m2,geoms/CC_p__b_O_d__q_C_p_O_q_C=O_m2.xyz
S(366),O=CC=O_m1,geoms/O=CC=O_m1.xyz
S(2235),[O]C(C=O)CC=O_m2,geoms/_b_O_d_C_p_C=O_q_CC=O_m2.xyz
S(2121),[O]C=COCC=O_m2,geoms/_b_O_d_C=COCC=O_m2.xyz
S(2288),[O]C(C=O)C(O)C=O_m2,geoms/_b_O_d_C_p_C=O_q_C_p_O_q_C=O_m2.xyz
S(2150),[O]C(CO)C(O)C=O_m2,geoms/_b_O_d_C_p_CO_q_C_p_O_q_C=O_m2.xyz
CO3t1(312),[O]C([O])=O_m3,geoms/_b_O_d_C_p__b_O_d__q_=O_m3.xyz
CO3(1850),O=C1OO1_m1,geoms/O=C1OO1_m1.xyz
OCHCO(428),O=[C]C=O_m2,geoms/O=_b_C_d_C=O_m2.xyz
