reaction_id,rmg_value,sensitivity,uncertainty,class
OO_m1.C#C[O]_m2>>[O]O_m2.C=C=O_m1,0.5042949326754502,0.009745116284488108,3.946395015176066,abstraction
C[O]_m2.[O]O_m2>>C=O_m1.OO_m1,0.5017791917144929,0.00969650150250703,3.946395015176066,abstraction
O=CC=O_m1.[O]O_m2>>[O]C=C=O_m2.OO_m1,0.4937682010610723,0.03841550651667257,2.5536049848239344,abstraction
C=C[O]_m2.[O]_m3>>C=C=O_m1.[OH]_m2,0.4918689138948844,0.0056994467331468535,4.457843140049898,abstraction
[O]_m3.[CH]=O_m2>>[O]C=O_m2,0.4863031285607913,0.03783471872866654,2.5536049848239344,
[OH]_m2.[CH2]_m3>>[CH2]O_m2,0.4847169361231908,0.037711311863274234,2.5536049848239344,
[H]_m2.[CH]_m2>>[CH2]_m1,0.4760302495053525,0.0006706072001672308,6.565053109697767,
O=COO_m1.[CH2]CC_m2>>[O]OC=O_m2.CCC_m1,0.4670017327412245,0.0036931663701497593,4.839848783037636,abstraction
[H][H]_m1.[O]_m3>>[H]_m2.[OH]_m2,0.4667856292197131,0.2831197956350093,0.5,abstraction
CC(CO)O[O]_m2>>C=CCO_m1.[O]O_m2,0.4651026923428885,0.10377843822793464,1.5,
[OH]_m2.C=C_m1>>[CH2]CO_m2,0.4645979978744626,0.28179293015196644,0.5,addition
C[CH]CO_m2.[O]O_m2>>CC=CO_m1.OO_m1,0.4615488557732334,0.03590881923667332,2.5536049848239344,abstraction
C=C=O_m1.[O][O]_m3>>[CH2]C(=O)O[O]_m3,0.460526379786128,0.006745264902577599,4.2235293763427535,
CCOO_m1.[CH2]CC_m2>>CCO[O]_m2.CCC_m1,0.4465727466158867,0.034743667617569175,2.5536049848239344,abstraction
[CH2]CO_m2.[O]O_m2>>C=CO_m1.OO_m1,0.4454906641326646,0.03465948085423272,2.5536049848239344,abstraction
CCC_m1.[O]_m3>>[CH2]CC_m2.[OH]_m2,0.4374889746965588,0.034036943898599376,2.5536049848239344,abstraction
[CH]=O_m2.[O][O]_m3>>[C-]#[O+]_m1.[O]O_m2,0.4371265906341866,0.26513067939528745,0.5,abstraction
[OH]_m2.C=CC_m1>>C[CH]CO_m2,0.4353879440032456,0.2640761369072156,0.5,addition
[OH]_m2.C=C=O_m1>>[C-]#[O+]_m1.[CH2]O_m2,0.4341333040949283,0.2633151593359221,0.5,
[H]_m2.C=C[C]=O_m2>>[CH2]C[C]=O_m3,0.43093347652779307,4.417063611129007e-05,9.185648783432317,addition
C=C_m1.[H]_m2>>[CH]=C_m2.[H][H]_m1,0.4144878940752414,0.2513996158363563,0.5,abstraction
[CH]=O_m2.[OH]_m2>>[C-]#[O+]_m1.O_m1,0.4120214224193594,0.2499036251557517,0.5,abstraction
