Unnamed: 0,species,species_id,path
106,S(2135),[CH2]C(O)=C[O]_m3,geoms/_b_CH2_d_C_p_O_q_=C_b_O_d__m3.xyz
107,S(1929),C=C(O)C=O_m1,geoms/C=C_p_O_q_C=O_m1.xyz
108,C4H7(480),[CH2]CC=C_m2,geoms/_b_CH2_d_CC=C_m2.xyz
109,C4H7(2260),[CH2]C1CC1_m2,geoms/_b_CH2_d_C1CC1_m2.xyz
110,C4H7(631),[CH]=CCC_m2,geoms/_b_CH_d_=CCC_m2.xyz
111,S(1073),C=C[CH]CO[O]_m3,geoms/C=C_b_CH_d_CO_b_O_d__m3.xyz
112,S(1055),[CH2]C(C=C)OO_m2,geoms/_b_CH2_d_C_p_C=C_q_OO_m2.xyz
113,S(1063),CC1[CH]COO1_m2,geoms/CC1_b_CH_d_COO1_m2.xyz
114,S(1434),C=CCCO[O]_m2,geoms/C=CCCO_b_O_d__m2.xyz
115,S(2543),[CH2]C1CCOO1_m2,geoms/_b_CH2_d_C1CCOO1_m2.xyz
116,S(2551),[CH]1CCOOC1_m2,geoms/_b_CH_d_1CCOOC1_m2.xyz
117,S(1924),[CH2]C(O)O_m2,geoms/_b_CH2_d_C_p_O_q_O_m2.xyz
118,S(1925),O[CH]CO_m2,geoms/O_b_CH_d_CO_m2.xyz
119,S(230),[O]C(=O)CC=O_m2,geoms/_b_O_d_C_p_=O_q_CC=O_m2.xyz
120,S(147),O=[C]CC=O_m2,geoms/O=_b_C_d_CC=O_m2.xyz
121,S(2704),[O]OCC(O)O_m2,geoms/_b_O_d_OCC_p_O_q_O_m2.xyz
122,S(2530),C1=CCOOC1_m1,geoms/C1=CCOOC1_m1.xyz
123,O2(2524),O=O_m1,geoms/O=O_m1.xyz
124,S(2525),C=CC1CO1_m1,geoms/C=CC1CO1_m1.xyz
125,C5H9(1446),C=C[CH]CC_m2,geoms/C=C_b_CH_d_CC_m2.xyz
126,S(2742),[CH2]O[CH]C=C_m3,geoms/_b_CH2_d_O_b_CH_d_C=C_m3.xyz
127,S(3000),C1=COCC1_m1,geoms/C1=COCC1_m1.xyz
128,S(3001),[CH]1C=CCO1_m2,geoms/_b_CH_d_1C=CCO1_m2.xyz
129,S(2733),[O]CC=CC[O]_m3,geoms/_b_O_d_CC=CC_b_O_d__m3.xyz
130,S(2846),CCC=CCC[O]_m2,geoms/CCC=CCC_b_O_d__m2.xyz
131,C3H5(615),[CH2]C=C_m2,geoms/_b_CH2_d_C=C_m2.xyz
132,C2H2O(60),[CH]=C[O]_m3,geoms/_b_CH_d_=C_b_O_d__m3.xyz
133,S(1064),C=CCO[O]_m2,geoms/C=CCO_b_O_d__m2.xyz
134,S(2552),C=CCC[O]_m2,geoms/C=CCC_b_O_d__m2.xyz
135,C3H4(3125),C=C=C_m1,geoms/C=C=C_m1.xyz
136,S(3331),C=CCC([O])O_m2,geoms/C=CCC_p__b_O_d__q_O_m2.xyz
137,S(3259),C=CCC(C)[O]_m2,geoms/C=CCC_p_C_q__b_O_d__m2.xyz
138,S(3127),C1=CO1_m1,geoms/C1=CO1_m1.xyz
139,S(3438),[CH2]C(=C)O[O]_m3,geoms/_b_CH2_d_C_p_=C_q_O_b_O_d__m3.xyz
140,S(3265),[O]OC1C=COC1_m2,geoms/_b_O_d_OC1C=COC1_m2.xyz
141,S(3264),[O]OC1C=CCO1_m2,geoms/_b_O_d_OC1C=CCO1_m2.xyz
142,C3H4(928),[CH]C=C_m3,geoms/_b_CH_d_C=C_m3.xyz
143,C3H5(521),C=[C]C_m2,geoms/C=_b_C_d_C_m2.xyz
144,S(3108),[CH2]C=CC=O_m2,geoms/_b_CH2_d_C=CC=O_m2.xyz
145,C3H3(3407),C#C[CH2]_m2,geoms/C_t_C_b_CH2_d__m2.xyz
146,S(3257),CC([O])C1C=COC1_m2,geoms/CC_p__b_O_d__q_C1C=COC1_m2.xyz
147,C3H4(3475),C#CC_m1,geoms/C_t_CC_m1.xyz
148,S(3213),[O]CC1C=CCO1_m2,geoms/_b_O_d_CC1C=CCO1_m2.xyz
149,S(3548),C#CCC[O]_m2,geoms/C_t_CCC_b_O_d__m2.xyz
150,S(3591),C=C=CO[O]_m2,geoms/C=C=CO_b_O_d__m2.xyz
151,S(3590),C#CCO[O]_m2,geoms/C_t_CCO_b_O_d__m2.xyz
152,S(3957),[C]1=COOC1_m2,geoms/_b_C_d_1=COOC1_m2.xyz
153,S(3588),[O]OCC=CC=O_m2,geoms/_b_O_d_OCC=CC=O_m2.xyz
154,S(3589),C=CC(C=O)O[O]_m2,geoms/C=CC_p_C=O_q_O_b_O_d__m2.xyz
155,S(3602),C#CCC([O])O_m2,geoms/C_t_CCC_p__b_O_d__q_O_m2.xyz
156,S(3581),C#CCC(C)[O]_m2,geoms/C_t_CCC_p_C_q__b_O_d__m2.xyz
157,C3H5O(518),[CH2]C(=C)O_m2,geoms/_b_CH2_d_C_p_=C_q_O_m2.xyz
158,S(904),CC(O)=CCOO_m1,geoms/CC_p_O_q_=CCOO_m1.xyz
159,S(863),[O]OCCCCOO_m2,geoms/_b_O_d_OCCCCOO_m2.xyz
160,S(122),CCCCOO_m1,geoms/CCCCOO_m1.xyz
161,S(2773),[O]OC1CCOOC1_m2,geoms/_b_O_d_OC1CCOOC1_m2.xyz
162,C4H9O(278),CCCC[O]_m2,geoms/CCCC_b_O_d__m2.xyz
163,S(3536),[O]CCC=CC=O_m2,geoms/_b_O_d_CCC=CC=O_m2.xyz
164,S(3109),C1C=COC=1_m1,geoms/C1C=COC=1_m1.xyz
165,S(3484),C=CC=C=O_m1,geoms/C=CC=C=O_m1.xyz
166,S(3118),[O]CC=CC=O_m2,geoms/_b_O_d_CC=CC=O_m2.xyz
167,S(3175),C=CC[C]=O_m2,geoms/C=CC_b_C_d_=O_m2.xyz
168,S(3772),CC([O])CC=CC=O_m2,geoms/CC_p__b_O_d__q_CC=CC=O_m2.xyz
169,S(5044),O=CC=CC=O_m1,geoms/O=CC=CC=O_m1.xyz
170,S(5360),[O]C(C=CC=O)CC=O_m2,geoms/_b_O_d_C_p_C=CC=O_q_CC=O_m2.xyz
171,S(1564),[CH2]OCC(C)=O_m2,geoms/_b_CH2_d_OCC_p_C_q_=O_m2.xyz
172,S(3916),C#CCC([O])C(=C)O_m2,geoms/C_t_CCC_p__b_O_d__q_C_p_=C_q_O_m2.xyz
173,S(5358),[O]C=CC=COCC=O_m2,geoms/_b_O_d_C=CC=COCC=O_m2.xyz
174,C3H4(3494),[C]=CC_m1,geoms/_b_C_d_=CC_m1.xyz
175,S(3361),C=CCC([O])C(=C)O_m2,geoms/C=CCC_p__b_O_d__q_C_p_=C_q_O_m2.xyz
176,S(4663),[O]OC1=COOC1_m2,geoms/_b_O_d_OC1=COOC1_m2.xyz
177,S(5042),O=C1C=CC1_m1,geoms/O=C1C=CC1_m1.xyz
178,S(2627),C=C(O)C([O])CC=O_m2,geoms/C=C_p_O_q_C_p__b_O_d__q_CC=O_m2.xyz
179,S(2624),[CH2]C(O)=COCC=O_m2,geoms/_b_CH2_d_C_p_O_q_=COCC=O_m2.xyz
180,S(5476),[O]C1=COOC1_m2,geoms/_b_O_d_C1=COOC1_m2.xyz
181,S(5831),[O]CC(=O)C=O_m2,geoms/_b_O_d_CC_p_=O_q_C=O_m2.xyz
182,S(5912),[O]C=C(O)C=O_m2,geoms/_b_O_d_C=C_p_O_q_C=O_m2.xyz
183,S(6133),[O]OC(O)(C=O)C=O_m2,geoms/_b_O_d_OC_p_O_q__p_C=O_q_C=O_m2.xyz
184,S(6061),O=C=C(O)C=O_m1,geoms/O=C=C_p_O_q_C=O_m1.xyz
185,S(5906),O=CC(=O)C=O_m1,geoms/O=CC_p_=O_q_C=O_m1.xyz
186,C4H6(927),C=C=CC_m1,geoms/C=C=CC_m1.xyz
187,S(6303),O=[C]C(O)[C]=O_m3,geoms/O=_b_C_d_C_p_O_q__b_C_d_=O_m3.xyz
188,S(3515),C#CC[C]=O_m2,geoms/C_t_CC_b_C_d_=O_m2.xyz
189,S(2987),[CH2]OC=C=C_m2,geoms/_b_CH2_d_OC=C=C_m2.xyz
190,S(1640),CC(=O)CC(C)[O]_m2,geoms/CC_p_=O_q_CC_p_C_q__b_O_d__m2.xyz
191,S(1639),C[CH]OCC(C)=O_m2,geoms/C_b_CH_d_OCC_p_C_q_=O_m2.xyz
192,S(4120),[O]OCC1CCOO1_m2,geoms/_b_O_d_OCC1CCOO1_m2.xyz
193,S(2892),C=CC(CC)O[O]_m2,geoms/C=CC_p_CC_q_O_b_O_d__m2.xyz
194,S(2893),CCC=CCO[O]_m2,geoms/CCC=CCO_b_O_d__m2.xyz
195,S(6323),O=C1C(=O)C1O_m1,geoms/O=C1C_p_=O_q_C1O_m1.xyz
196,C4H6(934),[CH]C=CC_m3,geoms/_b_CH_d_C=CC_m3.xyz
197,S(6992),C=CCC([O])C(=O)C=O_m2,geoms/C=CCC_p__b_O_d__q_C_p_=O_q_C=O_m2.xyz
198,S(6991),C=CCC([O])(C=O)C=O_m2,geoms/C=CCC_p__b_O_d__q__p_C=O_q_C=O_m2.xyz
199,S(6983),C=CCC([O])C(O)=C=O_m2,geoms/C=CCC_p__b_O_d__q_C_p_O_q_=C=O_m2.xyz
200,S(6324),O=[C][CH]O_m3,geoms/O=_b_C_d__b_CH_d_O_m3.xyz
201,S(6307),O=C=CO_m1,geoms/O=C=CO_m1.xyz
202,C4H6(1421),CC1C=C1_m1,geoms/CC1C=C1_m1.xyz
203,S(7184),[O]OC(O)[C]=O_m3,geoms/_b_O_d_OC_p_O_q__b_C_d_=O_m3.xyz
204,S(7512),O=C1OOC1O_m1,geoms/O=C1OOC1O_m1.xyz
205,S(1853),[O]C(=O)C([O])O_m3,geoms/_b_O_d_C_p_=O_q_C_p__b_O_d__q_O_m3.xyz
