reaction_id,press_dependence,class,rmg_value,Unnamed: 0
[O]O_m2.[CH2]C=CC_m2>>[O][O]_m3.C=CCC_m1,,abstraction,0.5486487026607523,116.0
CCCCC1CCO1_m1.O[O]_m2>>C=C_m1.CCCC[C]=O_m2.OO_m1,,,,
CC1CO1_m1>>C=C_m1.C=O_m1,,,,
[O]OC(C)(C)C_m2.O[O]_m2>>CC([O])(C)C_m2.[OH]_m2.[O][O]_m3,,,,
CC=CC([O])C_m2.[OH]_m2>>C[CH]C=CC_m2.O[O]_m2,,,,
O=C[C](O)C=O_m2.[O][O]_m3>>[O]OC(O)(C=O)C=O_m2,,addition,0.006441184754378055,556.0
C[O]_m2.[CH]=C[CH]C_m3>>C=O_m1.[CH2]C=CC_m2,,abstraction,1.3475960805052057e-11,3850.0
CC(C(OO)[CH]CC)OO_m2>>CCC1OC(C1OO)C_m1.[OH]_m2,,,,
[O]C1OC(O)C=1O_m2.[CH]1C=CCO1_m2>>O=C1OC(O)C1=O_m1.C1=COCC1_m1,,abstraction,6.07140711662216e-07,2211.0
[CH2]CC_m2.C#C[O]_m2>>C=CC_m1.C=C=O_m1,,abstraction,0.00013415053121029066,1181.0
[O]C=O_m2.O=[C]CC=O_m2>>O=C=O_m1.O=CCC=O_m1,,abstraction,1.6509718301954982e-13,4285.0
OOCC[CH]C(OO)CC_m2>>CCC(C1CCO1)OO_m1.[OH]_m2,,,,
O=CO_m1.[CH]=C=C=C_m2>>O=[C]O_m2.C#CC=C_m1,,abstraction,3.1916281974749664e-15,4534.0
CC_m1.[CH2]O[O]_m3>>C[CH2]_m2.CO[O]_m2,,abstraction,0.00031978706924346364,
CC(=O)C(=O)C[O]_m2.C[CH]CC_m2>>CC(=O)C(=O)C=O_m1.CCCC_m1,,abstraction,2.1401562143777633e-17,4697.0
CCCC=CCC_m1.[OH]_m2>>CCC[CH]C=CC_m2.O_m1,,abstraction,,
O=CC([CH2])C_m2.C=O_m1>>CC(C=O)CC[O]_m2,,addition,,
CCCCOO_m1.C#C[CH]C_m2>>CCCCO[O]_m2.C=C=CC_m1,,abstraction,3.352479975319848e-06,1896.0
[O]C[O]_m3.[O][O]_m3>>[O]C=O_m2.[O]O_m2,,abstraction,4.453408925765456e-05,
[CH2]CC=C_m2.[O]C1C(=O)OOC=1O_m2>>C=CC=C_m1.O=C1OOC(O)C1=O_m1,,abstraction,2.241630082946348e-10,3494.0
C=C1OOC([O])=C1O_m2.C[C]=O_m2>>C=C1OOC(=O)C1=O_m1.CC=O_m1,,abstraction,2.229943648341239e-05,1517.0
CC=O_m1.[O]OC(C)(C)C_m2>>C[C]=O_m2.OOC(C)(C)C_m1,,abstraction,,
CCCCOO_m1.[CH]=CCC_m2>>[CH2]CCCOO_m2.C=CCC_m1,,abstraction,2.7441733730760646e-06,1934.0
C[C]=O_m2.[O]OC(O)[C]=O_m3>>CC(=O)OOC(O)[C]=O_m2,,,0.0002348385050147285,1082.0
[CH2]C=C_m2>>C[C]=C_m2,,migration,7.511603501342521e-05,1290.0
