,reaction_id,rmg_value,class
194,C=C=C_m1.[CH2]_m3>>C#C[CH2]_m2.[CH3]_m2,0.1878152449448041,abstraction
195,C=[C]C_m2.[CH]=CCC_m2>>C#CC_m1.C=CCC_m1,0.18758620929402944,abstraction
196,[CH2]CO_m2.C=C[O]_m2>>C=CO_m1.CC=O_m1,0.18481010985956628,abstraction
197,O_m1.O_m1>>[H]_m2.[OH]_m2.O_m1,0.1811774589520024,
198,[O]OC(C=O)C=C=O_m2>>O=CC1[CH]C(=O)OO1_m2,0.17830276456414618,
199,C=C[O]_m2.O=C1OC(O)C1=O_m1>>O=CCO[C]1C(=O)OC1O_m2,0.17800865952200906,addition
200,C=C=C_m1.C=C[O]_m2>>C#C[CH2]_m2.CC=O_m1,0.1768134458164147,abstraction
201,[O]_m3.[CH3]_m2>>C[O]_m2,0.1756789994939679,
202,[CH2]C=CC_m2.[CH2]CCC_m2>>C=C=CC_m1.CCCC_m1,0.17133206015366045,abstraction
203,[C-]#[O+]_m1.C=C=CO[O]_m2>>C=C=C(C=O)O[O]_m2,0.17071858167819606,
204,C=C[O]_m2.[O]O_m2>>[CH]C=O_m3.OO_m1,0.1690164464005231,abstraction
205,[CH2]C=CC_m2.CO[O]_m2>>C=C=CC_m1.COO_m1,0.16597833793591293,abstraction
206,O=C[C](O)C=O_m2.[CH2]C=CC_m2>>O=CC(=O)C=O_m1.C=CCC_m1,0.1654273282897295,abstraction
207,CC=O_m1>>[C-]#[O+]_m1.C_m1,0.15651711724509365,
208,[O]C(C=O)=CO_m2>>O=C[C](O)C=O_m2,0.1564403292441612,migration
209,C[CH]C_m2.[CH2]_m1>>C[CH]CC_m2,0.15522307836153384,
210,C[CH]C_m2.C[C]=O_m2>>C=CC_m1.CC=O_m1,0.15490510209680228,abstraction
211,[CH]=C_m2.C#C[CH]C_m2>>C#C_m1.C=C=CC_m1,0.15389983577687413,abstraction
212,[OH]_m2.C1C=COC=1_m1>>OC1C=C[CH]O1_m2,0.15342386989025456,addition
213,C=C_m1.[O]_m3>>[CH]=C_m2.[OH]_m2,0.15327693763840486,abstraction
214,CCCCOO_m1.[CH2]O[O]_m3>>CCCCO[O]_m2.CO[O]_m2,0.14957524023601812,abstraction
215,O=C=CC(=O)[CH]O_m2.[O][O]_m3>>[O]OC(O)C(=O)C=C=O_m2,0.14905992586897265,addition
