species_id,path
[CH]=C1OOCC1=O_m2,geoms/_b_CH_d_=C1OOCC1=O_m2.xyz
[O]C(O)CC#CC=O_m2,geoms/_b_O_d_C_p_O_q_CC_t_CC=O_m2.xyz
[O]C1OC(O)C=1O_m2,geoms/_b_O_d_C1OC_p_O_q_C=1O_m2.xyz
[O]OC(C=O)C=CO_m2,geoms/_b_O_d_OC_p_C=O_q_C=CO_m2.xyz
[O]OC(O)C=CC=O_m2,geoms/_b_O_d_OC_p_O_q_C=CC=O_m2.xyz
[O]OC1C=COC1=O_m2,geoms/_b_O_d_OC1C=COC1=O_m2.xyz
C#CC(=O)CO[CH2]_m2,geoms/C_t_CC_p_=O_q_CO_b_CH2_d__m2.xyz
C#CC(=O)CO[CH]C_m2,geoms/C_t_CC_p_=O_q_CO_b_CH_d_C_m2.xyz
C#CC(=O)CO[C]=C_m2,geoms/C_t_CC_p_=O_q_CO_b_C_d_=C_m2.xyz
C#CC1([CH2])OO1_m2,geoms/C_t_CC1_p__b_CH2_d__q_OO1_m2.xyz
C=C(O)C(O)=C[O]_m2,geoms/C=C_p_O_q_C_p_O_q_=C_b_O_d__m2.xyz
C=C(O)[CH]OCC=O_m2,geoms/C=C_p_O_q__b_CH_d_OCC=O_m2.xyz
C=C([C]=O)OOC=O_m2,geoms/C=C_p__b_C_d_=O_q_OOC=O_m2.xyz
C=C1OOC(=O)C1=O_m1,geoms/C=C1OOC_p_=O_q_C1=O_m1.xyz
C=[C]C(=C=O)C=O_m2,geoms/C=_b_C_d_C_p_=C=O_q_C=O_m2.xyz
C=[C][C]=COCC=O_m3,geoms/C=_b_C_d__b_C_d_=COCC=O_m3.xyz
CC(=O)C(=O)C[O]_m2,geoms/CC_p_=O_q_C_p_=O_q_C_b_O_d__m2.xyz
CC(=O)C(O)=C[O]_m2,geoms/CC_p_=O_q_C_p_O_q_=C_b_O_d__m2.xyz
CC(=O)C([O])=CO_m2,geoms/CC_p_=O_q_C_p__b_O_d__q_=CO_m2.xyz
CC([O])C(=O)C=O_m2,geoms/CC_p__b_O_d__q_C_p_=O_q_C=O_m2.xyz
CC([O])C1C=COC1_m2,geoms/CC_p__b_O_d__q_C1C=COC1_m2.xyz
O=C1OOC(=O)C1=O_m1,geoms/O=C1OOC_p_=O_q_C1=O_m1.xyz
O=C1OOC(O)[C]1O_m2,geoms/O=C1OOC_p_O_q__b_C_d_1O_m2.xyz
O=C=CC(=O)[CH]O_m2,geoms/O=C=CC_p_=O_q__b_CH_d_O_m2.xyz
O=CC(=O)C(=O)OO_m1,geoms/O=CC_p_=O_q_C_p_=O_q_OO_m1.xyz
O=C[CH]C=COCC=O_m2,geoms/O=C_b_CH_d_C=COCC=O_m2.xyz
O=C[C]=CC(=O)OO_m2,geoms/O=C_b_C_d_=CC_p_=O_q_OO_m2.xyz
[CH2]C([O])(O)O_m3,geoms/_b_CH2_d_C_p__b_O_d__q__p_O_q_O_m3.xyz
[CH2]C([O])=C=O_m3,geoms/_b_CH2_d_C_p__b_O_d__q_=C=O_m3.xyz
[O]C(=O)C([O])O_m3,geoms/_b_O_d_C_p_=O_q_C_p__b_O_d__q_O_m3.xyz
[O]C1OOC(O)C1=O_m2,geoms/_b_O_d_C1OOC_p_O_q_C1=O_m2.xyz
[O]OC(=O)C=CC=O_m2,geoms/_b_O_d_OC_p_=O_q_C=CC=O_m2.xyz
[O]OC(C=O)C=C=O_m2,geoms/_b_O_d_OC_p_C=O_q_C=C=O_m2.xyz
[O]OC1C=CC(O)O1_m2,geoms/_b_O_d_OC1C=CC_p_O_q_O1_m2.xyz
C#CC(=O)CC(C)[O]_m2,geoms/C_t_CC_p_=O_q_CC_p_C_q__b_O_d__m2.xyz
C#CC(=O)CC([O])O_m2,geoms/C_t_CC_p_=O_q_CC_p__b_O_d__q_O_m2.xyz
C#CCC([O])C(=C)O_m2,geoms/C_t_CCC_p__b_O_d__q_C_p_=C_q_O_m2.xyz
C=C(O)C([O])CC=O_m2,geoms/C=C_p_O_q_C_p__b_O_d__q_CC=O_m2.xyz
C=C1OOC([O])=C1O_m2,geoms/C=C1OOC_p__b_O_d__q_=C1O_m2.xyz
C=C1OOC([O])C1=O_m2,geoms/C=C1OOC_p__b_O_d__q_C1=O_m2.xyz
C=CCC([O])C(=C)O_m2,geoms/C=CCC_p__b_O_d__q_C_p_=C_q_O_m2.xyz
O=C(OO)C(O)=[C]O_m2,geoms/O=C_p_OO_q_C_p_O_q_=_b_C_d_O_m2.xyz
O=CC(=O)C1OOC1=O_m1,geoms/O=CC_p_=O_q_C1OOC1=O_m1.xyz
[CH2]C(=C=O)O[O]_m3,geoms/_b_CH2_d_C_p_=C=O_q_O_b_O_d__m3.xyz
[O]C(C=CC=O)CC=O_m2,geoms/_b_O_d_C_p_C=CC=O_q_CC=O_m2.xyz
[O]C1C(=O)OOC=1O_m2,geoms/_b_O_d_C1C_p_=O_q_OOC=1O_m2.xyz
