Unnamed: 0,species,species_id,path
264,TQC4H7OHIO2,[O]OC(C(OO)(C)C)O_m2,geoms/_b_O_d_OC_p_C_p_OO_q__p_C_q_C_q_O_m2.xyz
265,TQC4H7OHTO2,OOC(C(O[O])(C)C)O_m2,geoms/OOC_p_C_p_O_b_O_d__q__p_C_q_C_q_O_m2.xyz
266,TQC4H7OHIQ-I,OOC(C(OO)(C)C)[O]_m2,geoms/OOC_p_C_p_OO_q__p_C_q_C_q__b_O_d__m2.xyz
267,TQC4H7OHIQ-P,OOC(C(OO)([CH2])C)O_m2,geoms/OOC_p_C_p_OO_q__p__b_CH2_d__q_C_q_O_m2.xyz
268,IC3H5COHQ,CC(=C)C(OO)O_m1,geoms/CC_p_=C_q_C_p_OO_q_O_m1.xyz
269,CH2CQCOHQ,OOC(=C)C(OO)O_m1,geoms/OOC_p_=C_q_C_p_OO_q_O_m1.xyz
270,IC3H5Q,CC(=C)OO_m1,geoms/CC_p_=C_q_OO_m1.xyz
271,COHQCYC(COC),CC1(CO1)C(OO)O_m1,geoms/CC1_p_CO1_q_C_p_OO_q_O_m1.xyz
272,QCYC(CCOC)OH,OOC1(C)COC1O_m1,geoms/OOC1_p_C_q_COC1O_m1.xyz
273,HOCOCQ(CH3)2,OOC(C(=O)O)(C)C_m1,geoms/OOC_p_C_p_=O_q_O_q__p_C_q_C_m1.xyz
274,IQC4H7OHTO2,OOCC(CO[O])(O)C_m2,geoms/OOCC_p_CO_b_O_d__q__p_O_q_C_m2.xyz
275,IQC4H8OTQ-I,OOCC(COO)([O])C_m2,geoms/OOCC_p_COO_q__p__b_O_d__q_C_m2.xyz
276,IQC4H7OHTQ-P,OOCC(COO)(O)[CH2]_m2,geoms/OOCC_p_COO_q__p_O_q__b_CH2_d__m2.xyz
277,CHOC(CH3)OHCH2Q,CC(C=O)(COO)O_m1,geoms/CC_p_C=O_q__p_COO_q_O_m1.xyz
278,CO(CH2OOH)2,OOCC(=O)COO_m1,geoms/OOCC_p_=O_q_COO_m1.xyz
279,CH3COCHO,O=CC(=O)C_m1,geoms/O=CC_p_=O_q_C_m1.xyz
280,IC3H5OCH2,[CH2]OC(=C)C_m2,geoms/_b_CH2_d_OC_p_=C_q_C_m2.xyz
281,IC4H7OOCH3,COOCC(=C)C_m1,geoms/COOCC_p_=C_q_C_m1.xyz
282,IC4H7OOIC4H7,CC(=C)COOCC(=C)C_m1,geoms/CC_p_=C_q_COOCC_p_=C_q_C_m1.xyz
283,C4H8-1,CCC=C_m1,geoms/CCC=C_m1.xyz
284,C4H8-2,CC=CC_m1,geoms/CC=CC_m1.xyz
285,C4H71-1,CCC=[CH]_m2,geoms/CCC=_b_CH_d__m2.xyz
286,C4H71-2,CC[C]=C_m2,geoms/CC_b_C_d_=C_m2.xyz
287,C4H71-3,C[CH]C=C_m2,geoms/C_b_CH_d_C=C_m2.xyz
288,C4H71-4,[CH2]CC=C_m2,geoms/_b_CH2_d_CC=C_m2.xyz
289,C4H72-2,C[C]=CC_m2,geoms/C_b_C_d_=CC_m2.xyz
290,C4H71-O,CC(C=C)[O]_m2,geoms/CC_p_C=C_q__b_O_d__m2.xyz
291,PC4H8OH-2,CC[CH]CO_m2,geoms/CC_b_CH_d_CO_m2.xyz
