reaction_id,exception
CC#CC=O_m1>>[C]=O_m3.CC#C_m1,
CC#CC=O_m1>>C#C_m1.C=C=O_m1,
C=[CH]_m2.C#C_m1>>C=[C]C=C_m2,
C=[CH]_m2.C=[CH]_m2>>C=CC=C_m1,
CC=C=C_m1>>C=[C]C=C_m2.[H]_m2,
CC#CC_m1>>[H]_m2.CC#C[CH2]_m2,
C=[C]C#C_m2.[H]_m2>>C=CC#C_m1,
[CH]=CC#C_m2.[H]_m2>>C=CC#C_m1,
[CH]=CC#C_m2.C#C_m1>>c1[c]cccc1_m2,
C=[C]C#C_m2.[CH3]_m2>>C1C=CC=C1_m1,
CCC[C]=O_m2>>CC[CH2]_m2.[C]=O_m3,
CC=CC=O_m1>>CC=C_m1.[C]=O_m3,
CC=C[C]=O_m2.[H]_m2>>CC=CC=O_m1,
[CH2]C=CC=O_m2.[H]_m2>>CC=CC=O_m1,
CC=[CH]_m2.[C]=O_m3>>CC=C[C]=O_m2,
[CH2]C=CC=O_m2>>[CH2]C=C_m2.[C]=O_m3,
CCCCC_m1>>CC[CH2]_m2.C[CH2]_m2,
CCCCC_m1>>CCC[CH2]_m2.[CH3]_m2,
CCCCC_m1>>CCCC[CH2]_m2.[H]_m2,
CCCCC_m1>>C[CH]CCC_m2.[H]_m2,
CCCCC_m1>>CC[CH]CC_m2.[H]_m2,
CCCCCO[O]_m2>>CCCCC=O_m1.[OH]_m2,
CC(O[O])CCC_m2>>CCCC(=O)C_m1.[OH]_m2,
CCC(O[O])CC_m2>>CCC(=O)CC_m1.[OH]_m2,
CCCCCO[O]_m2>>CCCC=C_m1.O[O]_m2,
CC(O[O])CCC_m2>>CCCC=C_m1.O[O]_m2,
CC(O[O])CCC_m2>>CCC=CC_m1.O[O]_m2,
CCC(O[O])CC_m2>>CCC=CC_m1.O[O]_m2,
CCCCCOO_m1>>CCCCC[O]_m2.[OH]_m2,
CC(OO)CCC_m1>>CCCC([O])C_m2.[OH]_m2,
CCC(OO)CC_m1>>CCC(CC)[O]_m2.[OH]_m2,
CCC[CH]COO_m2>>CCCC1CO1_m1.[OH]_m2,
CC[CH]CCOO_m2>>CCC1CCO1_m1.[OH]_m2,
C[CH]CCCOO_m2>>CC1CCCO1_m1.[OH]_m2,
[CH2]CCCCOO_m2>>C1CCCOC1_m1.[OH]_m2,
[CH2]C(OO)CCC_m2>>CCCC1CO1_m1.[OH]_m2,
